sa1_code_2021,school,walk_time_sec
80106106205,Telopea Park School,2027.7466262170271
80106106206,Forrest Primary  School,2237.2720346032693
80106106206,Telopea Park School,2740.286423080746
80106106207,Telopea Park School,2558.4394673564075
80106106208,Alfred Deakin High School,1147.3480276796238
80106106208,Forrest Primary  School,2283.4494984617686
80106106209,Forrest Primary  School,1609.405132417447
80106106209,Telopea Park School,2112.4195208949236
80106106301,Forrest Primary  School,563.5854230875844
80106106301,Telopea Park School,325.4519554761189
80106106302,Forrest Primary  School,373.86619738727927
80106106303,Forrest Primary  School,440.8438388715521
80106106303,Telopea Park School,1307.5665707221478
80106106304,Forrest Primary  School,788.5490452666228
80106106304,Telopea Park School,1291.5634337440995
80106106401,Forrest Primary  School,1451.721105903165
80106106401,Telopea Park School,800.7182623214461
80106106402,Forrest Primary  School,1500.0893329685875
80106106402,Red Hill Primary School,1980.6573966140015
80106106402,Telopea Park School,1217.5247196853259
80106106403,Telopea Park School,1722.8925049455152
80106106405,Forrest Primary  School,1866.6028535524665
80106106405,Red Hill Primary School,1185.5101863389993
80106106405,Telopea Park School,1770.5786496950889
80106106407,Red Hill Primary School,1469.0761480899869
80106106410,Telopea Park School,648.2276453140172
80106106411,Forrest Primary  School,1591.6947665359423
80106106411,Red Hill Primary School,2439.1695827658386
80106106411,Telopea Park School,979.1787231919153
80106106413,Forrest Primary  School,1075.986818984165
80106106413,Red Hill Primary School,1765.9468203921974
80106106413,Telopea Park School,1162.230316880508
80106106415,Red Hill Primary School,878.154059075325
80106106415,Telopea Park School,2134.1686128445103
80106106416,Red Hill Primary School,1307.739307455391
80106106416,Telopea Park School,1806.2435965649593
80106106701,Forrest Primary  School,3344.2943112348053
80106106701,Red Hill Primary School,2348.267668563476
80106106701,Telopea Park School,2814.120335886901
80106106702,Red Hill Primary School,2153.608561387863
80106106702,Telopea Park School,2613.727277668572
80106106703,Red Hill Primary School,1946.7595778680418
80106106703,Telopea Park School,2345.4636338585683
80106106704,Forrest Primary  School,2844.2211587174133
80106106704,Red Hill Primary School,2479.220126151115
80106106704,Telopea Park School,2221.596361695563
80106106705,Forrest Primary  School,3212.0518001178843
80106106705,Red Hill Primary School,2451.2542019956645
80106106705,Telopea Park School,2589.4270030960333
80106106706,Forrest Primary  School,3117.9088082092403
80106106706,Red Hill Primary School,2598.874888142
80106106706,Telopea Park School,2495.2840111873893
80106106707,Red Hill Primary School,1490.6227239871082
80106106707,Telopea Park School,3059.9298665931647
80106106708,Red Hill Primary School,644.5305903866112
80106106708,Telopea Park School,2619.1854245611876
80106106709,Forrest Primary  School,2379.4382872120873
80106106709,Red Hill Primary School,1171.4456068503794
80106106709,Telopea Park School,2157.2224894116857
80106106710,Red Hill Primary School,1283.424321933467
80106106710,Telopea Park School,2646.643465799903
80106106712,Red Hill Primary School,981.5143969403687
80106106712,Telopea Park School,2964.0800626692717
80106106713,Red Hill Primary School,1002.9894107708639
80106106713,Telopea Park School,2312.3092133968125
80106106714,Forrest Primary  School,2243.3904489050306
80106106714,Telopea Park School,1960.8258356217689
80106106715,Forrest Primary  School,2333.4270414632256
80106106715,Red Hill Primary School,1472.1129986070243
80106106715,Telopea Park School,2050.8624281799644
80106106716,Forrest Primary  School,2413.2838663481325
80106106716,Telopea Park School,1817.1206259687146
80106106717,Red Hill Primary School,2311.26211391007
80106106717,Telopea Park School,3005.011158523611
80106106719,Red Hill Primary School,1102.1565992479404
80106106719,Telopea Park School,3327.624139053762
80106106901,Red Hill Primary School,711.2395878953505
80106106901,Telopea Park School,3187.8420167306963
80106106903,Red Hill Primary School,1002.6775810633274
80106106903,Telopea Park School,3064.1605972215107
80106106904,Telopea Park School,2963.195571716562
80106106905,Red Hill Primary School,404.8079170533417
80106106905,Telopea Park School,2842.2463926732257
80106106906,Red Hill Primary School,416.2092983435809
80106106906,Telopea Park School,2580.990903052933
80106106907,Red Hill Primary School,1075.9011954866546
80106106907,Telopea Park School,2429.3813893100496
80106106909,Red Hill Primary School,1166.4558037588588
80106106909,Telopea Park School,2499.2018582903474
80106107003,Alfred Deakin High School,2161.647879889254
80106107005,Alfred Deakin High School,1995.45867317717
80106107005,Telopea Park School,2936.7246859683605
80106107007,Alfred Deakin High School,2324.6343183047743
80106107008,Forrest Primary  School,2618.351218353395
80106107008,Telopea Park School,2670.485831209258
80106112901,Forrest Primary  School,916.3121175233758
80106112901,Telopea Park School,408.78801346825304
80106112902,Forrest Primary  School,1264.8500295185613
80106112902,Telopea Park School,512.1593864860986
80106112903,Forrest Primary  School,1321.2365798177218
80106112903,Telopea Park School,1365.482828778732
80106113103,Forrest Primary  School,1866.7149422540137
80106113103,Red Hill Primary School,2558.9882435391787
80106113103,Telopea Park School,1162.8915872206433
80106113107,Amaroo School,8561.596769090514
80106113107,Red Hill Primary School,2726.532610362515
80106113108,Telopea Park School,899.1420764212942
80107107104,Lake Tuggeranong College,23114.353287905236
80107107108,Lake Tuggeranong College,22660.98159032013
80107107108,Wanniassa School,8730.325091775963
80107107110,Lake Tuggeranong College,22213.407708203336
80107107112,Lake Tuggeranong College,22431.769418622393
80107107203,Lake Tuggeranong College,18947.88286738143
80107107205,Lake Tuggeranong College,18324.092206205056
80107107206,Lake Tuggeranong College,18326.588770561295
80107107208,Lake Tuggeranong College,18530.373780330658
80107107208,Melrose High School,7596.926189884032
80107107301,Calwell High School,1705.62060164291
80107107301,Calwell Primary School,928.046596012327
80107107301,Theodore Primary School,2638.3426307090017
80107107302,Calwell High School,1265.3350565992116
80107107302,Calwell Primary School,641.4910977083316
80107107302,Lake Tuggeranong College,18281.02135989646
80107107303,Calwell High School,1527.8071071029347
80107107303,Calwell Primary School,750.2331014723513
80107107303,Melrose High School,8349.943325637172
80107107303,Namadgi School,5719.99036312844
80107107304,Calwell High School,545.8953822632386
80107107304,Calwell Primary School,456.3749465953903
80107107307,Calwell High School,884.2754457035669
80107107307,Calwell Primary School,980.9602511800454
80107107308,Calwell Primary School,632.6323465736994
80107107309,Calwell High School,1292.9241964183352
80107107309,Calwell Primary School,605.7087940668584
80107107309,Theodore Primary School,2162.413838505138
80107107311,Calwell High School,1937.0093208584658
80107107311,Calwell Primary School,1159.4353152278825
80107107312,Calwell High School,901.5986593172759
80107107312,Calwell Primary School,642.6056364651273
80107107313,Calwell High School,1806.4872576094158
80107107313,Calwell Primary School,1047.8624865256834
80107107314,Calwell Primary School,594.6766467972122
80107107316,Calwell High School,868.4810820104925
80107107316,Calwell Primary School,649.1376716276676
80107107317,Calwell Primary School,485.2497554332355
80107107401,Caroline Chisholm School,692.3036739870059
80107107402,Caroline Chisholm School,709.0489819221245
80107107403,Caroline Chisholm School,1138.6666558050422
80107107404,Caroline Chisholm School,462.91103876415355
80107107405,Caroline Chisholm School,1187.4464389322977
80107107405,Lake Tuggeranong College,17892.559952656957
80107107406,Calwell High School,2041.6371100730235
