sa1_code_2021,pairs,pairs_within_10_min,pairs_within_15_min,pct_within_10_min,pct_within_15_min
80107108224,1,0,1,0.0,1.0
80107108225,1,0,0,0.0,0.0
80107108227,1,0,0,0.0,0.0
80107108228,1,0,0,0.0,0.0
80107108229,1,0,0,0.0,0.0
80107108230,1,0,0,0.0,0.0
80107108231,2,0,0,0.0,0.0
80107108233,1,0,0,0.0,0.0
80107108234,1,0,0,0.0,0.0
80107108235,4,0,0,0.0,0.0
80107108236,3,0,0,0.0,0.0
80107108239,3,0,0,0.0,0.0
80107108240,1,0,0,0.0,0.0
80107108241,2,0,0,0.0,0.0
80107108301,2,0,0,0.0,0.0
80107108402,1,0,0,0.0,0.0
80107108412,1,0,0,0.0,0.0
80107108415,2,0,0,0.0,0.0
80107108417,2,0,0,0.0,0.0
80107108418,1,0,0,0.0,0.0
80107108601,3,0,0,0.0,0.0
80107108603,3,0,0,0.0,0.0
80107108605,2,0,0,0.0,0.0
80107108701,4,0,0,0.0,0.0
80107108702,2,0,0,0.0,0.0
80107108703,2,0,0,0.0,0.0
80107108704,1,0,0,0.0,0.0
80107108705,3,0,0,0.0,0.0
80107108706,3,0,0,0.0,0.0
80107108707,1,0,1,0.0,1.0
80107108801,2,0,0,0.0,0.0
80107108802,2,0,0,0.0,0.0
80107108803,2,0,0,0.0,0.0
80107108804,2,1,1,0.5,0.5
80107108805,2,0,0,0.0,0.0
80107108806,2,0,2,0.0,1.0
80107108807,3,1,1,0.3333333333333333,0.3333333333333333
80107108808,2,0,1,0.0,0.5
80107108809,3,0,1,0.0,0.3333333333333333
80107108810,2,1,1,0.5,0.5
80107109001,1,1,1,1.0,1.0
80107109002,1,0,0,0.0,0.0
80107109003,2,1,1,0.5,0.5
80107109004,2,0,0,0.0,0.0
80107109005,2,0,1,0.0,0.5
80107109006,2,0,0,0.0,0.0
80107109007,1,0,0,0.0,0.0
80107109008,1,0,0,0.0,0.0
80107109009,2,0,1,0.0,0.5
80107109010,2,1,1,0.5,0.5
80107109011,3,0,1,0.0,0.3333333333333333
80107109012,1,1,1,1.0,1.0
80107109013,1,0,1,0.0,1.0
80107109014,2,0,1,0.0,0.5
80107109015,3,0,0,0.0,0.0
80107109016,3,0,1,0.0,0.3333333333333333
80107109017,1,0,0,0.0,0.0
80107109018,1,0,0,0.0,0.0
80107109019,2,1,2,0.5,1.0
80107109020,1,0,0,0.0,0.0
80108109102,1,0,0,0.0,0.0
80108109105,1,0,0,0.0,0.0
80108109107,2,0,0,0.0,0.0
80108109108,1,0,0,0.0,0.0
80108109201,2,0,0,0.0,0.0
80108109202,1,0,0,0.0,0.0
80108109203,1,0,0,0.0,0.0
80108109205,1,0,0,0.0,0.0
80108109206,1,0,0,0.0,0.0
80108109208,1,0,0,0.0,0.0
80108109303,1,0,0,0.0,0.0
80108109304,2,0,0,0.0,0.0
80108109305,1,1,1,1.0,1.0
80108109306,2,0,0,0.0,0.0
80108109403,1,0,0,0.0,0.0
80108109405,3,0,0,0.0,0.0
80108109406,1,0,0,0.0,0.0
80108109504,1,0,0,0.0,0.0
80108109505,1,0,0,0.0,0.0
80108109506,1,0,0,0.0,0.0
80108109507,1,0,0,0.0,0.0
80108109508,1,0,0,0.0,0.0
